EdgeId,SourceNodeId,TargetNodeId,RelationshipType,Color,Thickness,IsDirectional,Weight,Description,_DiscoveryTimestamp,_DiscoveryModule,_SessionId
EDGE040,NODE020,NODE009,Power_Dependency,#FF9800,4,True,10,Core switch depends on UPS power,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE041,NODE021,NODE003,Database_Connection,#FF5722,2,True,4,Legacy Server connects to SQL Database,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE042,NODE022,NODE021,Application_Dependency,#D32F2F,3,True,6,Legacy Database supports Legacy Application,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE043,NODE023,NODE024,Development_Relationship,#2196F3,2,False,5,Development Database and Web Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE044,NODE025,NODE009,Network_Connection,#8BC34A,2,True,6,Branch DC connects through WAN to core switch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE045,NODE025,NODE001,Replication,#8BC34A,3,True,8,Branch DC replicates with Primary DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE046,NODE026,NODE008,Security_Relationship,#9C27B0,3,True,8,VPN Concentrator works with Firewall,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE047,NODE026,NODE001,Authentication,#9C27B0,2,True,7,VPN authenticates against Primary DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE048,NODE027,NODE006,Load_Balance,#607D8B,3,True,8,Load Balancer distributes traffic to Web Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE049,NODE027,NODE007,Load_Balance,#607D8B,3,True,8,Load Balancer distributes traffic to App Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE050,NODE028,NODE001,PKI_Relationship,#795548,2,True,6,Certificate Authority integrates with AD,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE051,NODE028,NODE009,Network_Connection,#795548,2,True,6,Certificate Authority connects through core switch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE052,NODE029,NODE001,Authentication,#03DAC6,2,True,6,WSUS Server authenticates against DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE053,NODE029,NODE009,Network_Connection,#03DAC6,2,True,7,WSUS Server connects through core switch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE054,NODE030,NODE001,Authentication,#0078D4,2,True,7,SharePoint authenticates against DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE055,NODE030,NODE003,Database_Connection,#0078D4,3,True,9,SharePoint uses SQL Server for content database,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
