Name,Description,Status,NextRunTime,LastRunTime,IsEnabled,Executable,Arguments,WorkingDirectory,ModuleName,CompanyProfile,TriggerType,StartDate,TimeOfDay,Category,CreatedBy,CreatedDate,_DiscoveryTimestamp,_DiscoveryModule,_SessionId
Legacy System Monitoring,Monitor legacy systems for issues and compliance,Ready,2025-08-20 15:00:00,2025-08-19 15:00:00,True,PowerShell.exe,"-File C:\Scripts\LegacyMonitor.ps1",C:\Scripts\,PhysicalServerDiscovery,Corporate,Daily,2025-03-10 00:00:00,15:00:00,Monitoring,"Christopher Garcia",2025-03-10 11:25:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Backup Job Status Check,Verify status of all backup jobs,Ready,2025-08-20 08:00:00,2025-08-19 08:00:00,True,PowerShell.exe,"-File C:\Scripts\BackupStatus.ps1",C:\Scripts\,BackupRecoveryDiscovery,Corporate,Daily,2025-03-15 00:00:00,08:00:00,Monitoring,"David Thompson",2025-03-15 16:50:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Printer Status Report,Generate printer usage and status report,Ready,2025-08-27 09:00:00,2025-08-20 09:00:00,True,PowerShell.exe,"-File C:\Scripts\PrinterReport.ps1",C:\Scripts\,PrinterDiscovery,Corporate,Weekly,2025-03-20 00:00:00,09:00:00,Reporting,"Ashley Moore",2025-03-20 09:35:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Storage Capacity Alert,Check storage capacity and send alerts for low space,Ready,2025-08-20 14:00:00,2025-08-19 14:00:00,True,PowerShell.exe,"-File C:\Scripts\StorageAlert.ps1",C:\Scripts\,StorageArrayDiscovery,Corporate,Daily,2025-03-25 00:00:00,14:00:00,Monitoring,"Ryan Jackson",2025-03-25 13:20:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
DNS Health Check,Perform DNS server health and consistency check,Ready,2025-08-21 10:00:00,2025-08-18 10:00:00,True,PowerShell.exe,"-File C:\Scripts\DNSHealthCheck.ps1",C:\Scripts\,DNSDHCPDiscovery,Corporate,Every 3 Days,2025-04-01 00:00:00,10:00:00,Monitoring,"David Thompson",2025-04-01 15:10:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
DHCP Scope Monitoring,Monitor DHCP scope utilization and availability,Ready,2025-08-20 11:00:00,2025-08-19 11:00:00,True,PowerShell.exe,"-File C:\Scripts\DHCPMonitor.ps1",C:\Scripts\,DNSDHCPDiscovery,Corporate,Daily,2025-04-05 00:00:00,11:00:00,Monitoring,"David Thompson",2025-04-05 10:45:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Virtualization Health Check,Check VMware infrastructure health and performance,Ready,2025-08-21 05:00:00,2025-08-18 05:00:00,True,PowerShell.exe,"-File C:\Scripts\VMwareHealth.ps1",C:\Scripts\,VirtualizationDiscovery,Corporate,Every 3 Days,2025-04-10 00:00:00,05:00:00,Monitoring,"David Thompson",2025-04-10 12:30:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
License Compliance Check,Verify software license compliance across the organization,Ready,2025-09-01 19:00:00,2025-08-01 19:00:00,True,PowerShell.exe,"-File C:\Scripts\LicenseCheck.ps1",C:\Scripts\,LicensingDiscovery,Corporate,Monthly,2025-04-15 00:00:00,19:00:00,Compliance,"Emily Davis",2025-04-15 14:15:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Event Log Analysis,Analyze system event logs for security and performance issues,Ready,2025-08-20 21:00:00,2025-08-19 21:00:00,True,PowerShell.exe,"-File C:\Scripts\EventLogAnalysis.ps1",C:\Scripts\,SecurityInfrastructureDiscovery,Corporate,Daily,2025-04-20 00:00:00,21:00:00,Security,"Andrew Harris",2025-04-20 11:55:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Asset Inventory Update,Update IT asset inventory database with latest information,Ready,2025-08-23 13:00:00,2025-08-16 13:00:00,True,PowerShell.exe,"-File C:\Scripts\AssetInventory.ps1",C:\Scripts\,ApplicationDiscovery,Corporate,Weekly,2025-04-25 00:00:00,13:00:00,Inventory,"Ashley Moore",2025-04-25 16:40:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Performance Baseline Collection,Collect performance baseline data for capacity planning,Ready,2025-08-20 23:00:00,2025-08-19 23:00:00,True,PowerShell.exe,"-File C:\Scripts\PerfBaseline.ps1",C:\Scripts\,PhysicalServerDiscovery,Corporate,Daily,2025-05-01 00:00:00,23:00:00,Performance,"Ryan Jackson",2025-05-01 09:20:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Patch Compliance Report,Generate patch compliance status report,Ready,2025-08-25 17:00:00,2025-08-18 17:00:00,True,PowerShell.exe,"-File C:\Scripts\PatchCompliance.ps1",C:\Scripts\,PhysicalServerDiscovery,Corporate,Weekly,2025-05-05 00:00:00,17:00:00,Security,"John Smith",2025-05-05 13:45:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Development Environment Cleanup,Clean up old files and processes in development environment,Ready,2025-08-24 01:00:00,2025-08-17 01:00:00,True,PowerShell.exe,"-File C:\Scripts\DevCleanup.ps1",C:\Scripts\,ApplicationDiscovery,Development,Weekly,2025-05-10 00:00:00,01:00:00,Maintenance,"Robert Wilson",2025-05-10 15:25:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Test Data Refresh,Refresh test environment with sanitized production data,Ready,2025-08-25 04:00:00,2025-08-18 04:00:00,True,PowerShell.exe,"-File C:\Scripts\TestDataRefresh.ps1",C:\Scripts\,SQLServerDiscovery,Development,Weekly,2025-05-15 00:00:00,04:00:00,Development,"Christopher Garcia",2025-05-15 10:50:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Disabled Task Example,Example of a disabled scheduled task,Disabled,Never,2025-08-10 12:00:00,False,PowerShell.exe,"-File C:\Scripts\DisabledTask.ps1",C:\Scripts\,TestModule,Corporate,Daily,2025-06-01 00:00:00,12:00:00,Test,"Test User",2025-06-01 12:00:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Failed Task Example,Example of a task that failed to run,Failed,2025-08-20 06:30:00,2025-08-19 06:30:00,True,PowerShell.exe,"-File C:\Scripts\NonExistentScript.ps1",C:\Scripts\,TestModule,Corporate,Daily,2025-06-05 00:00:00,06:30:00,Test,"Test User",2025-06-05 14:30:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Running Task Example,Example of a currently running task,Running,2025-08-20 10:30:00,2025-08-19 10:30:00,True,PowerShell.exe,"-File C:\Scripts\LongRunningScript.ps1",C:\Scripts\,TestModule,Corporate,Daily,2025-06-10 00:00:00,10:30:00,Test,"Test User",2025-06-10 16:15:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Azure Resource Sync,Synchronize on-premises data with Azure resources,Ready,2025-08-20 04:30:00,2025-08-19 04:30:00,True,PowerShell.exe,"-File C:\Scripts\AzureSync.ps1",C:\Scripts\,AzureDiscovery,Corporate,Daily,2025-07-01 00:00:00,04:30:00,Cloud,"John Smith",2025-07-01 11:10:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Intune Device Compliance,Check device compliance status in Microsoft Intune,Ready,2025-08-21 14:30:00,2025-08-18 14:30:00,True,PowerShell.exe,"-File C:\Scripts\IntuneCompliance.ps1",C:\Scripts\,IntuneDiscovery,Corporate,Every 3 Days,2025-07-05 00:00:00,14:30:00,Compliance,"Ashley Moore",2025-07-05 09:45:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
SharePoint Usage Report,Generate SharePoint site usage and storage report,Ready,2025-08-26 11:30:00,2025-08-19 11:30:00,True,PowerShell.exe,"-File C:\Scripts\SharePointUsage.ps1",C:\Scripts\,SharePointDiscovery,Corporate,Weekly,2025-07-10 00:00:00,11:30:00,Reporting,"Lisa Anderson",2025-07-10 14:20:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
